batchName,instrumentName,compoundName,calibrationSlope,calibrationIntercept,calibrationR2,batchPassed,reviewerName,batchCollectedTimestamp,reviewStartTimestamp,reviewCompleteTimestamp
b893684,dopey,morphine,0.006503199,1.51459E-05,0.990519616,TRUE,Brad,2017-03-09 23:24:58,2017-03-10 11:06:51,2017-03-10 11:50:36
b893684,dopey,hydromorphone,0.00731991,-1.16857E-05,0.990796724,TRUE,Brad,2017-03-09 23:24:58,2017-03-10 11:06:51,2017-03-10 11:50:36
b893684,dopey,oxymorphone,0.007328069,4.90093E-05,0.990179763,TRUE,Brad,2017-03-09 23:24:58,2017-03-10 11:06:51,2017-03-10 11:50:36
b893684,dopey,codeine,0.00711204,-3.27625E-05,0.984971213,TRUE,Brad,2017-03-09 23:24:58,2017-03-10 11:06:51,2017-03-10 11:50:36
b893684,dopey,hydrocodone,0.006632526,4.40413E-05,0.987366547,TRUE,Brad,2017-03-09 23:24:58,2017-03-10 11:06:51,2017-03-10 11:50:36
b893684,dopey,oxycodone,0.006608407,-1.64698E-05,0.995062185,TRUE,Brad,2017-03-09 23:24:58,2017-03-10 11:06:51,2017-03-10 11:50:36
b232145,dopey,morphine,0.006978878,-3.4988E-05,0.994916927,TRUE,Yolanda,2017-03-09 20:16:12,2017-03-10 11:37:19,2017-03-10 12:06:10
b232145,dopey,hydromorphone,0.007052767,-4.93981E-05,0.986995015,TRUE,Yolanda,2017-03-09 20:16:12,2017-03-10 11:37:19,2017-03-10 12:06:10
b232145,dopey,oxymorphone,0.006731076,4.58025E-05,0.984957954,TRUE,Yolanda,2017-03-09 20:16:12,2017-03-10 11:37:19,2017-03-10 12:06:10
b232145,dopey,codeine,0.007424737,-3.41626E-05,0.981233895,TRUE,Yolanda,2017-03-09 20:16:12,2017-03-10 11:37:19,2017-03-10 12:06:10
b232145,dopey,hydrocodone,0.007001085,-2.39331E-05,0.995950913,TRUE,Yolanda,2017-03-09 20:16:12,2017-03-10 11:37:19,2017-03-10 12:06:10
b232145,dopey,oxycodone,0.006746633,-5.26401E-05,0.988194438,TRUE,Yolanda,2017-03-09 20:16:12,2017-03-10 11:37:19,2017-03-10 12:06:10
b609128,grumpy,morphine,0.007608545,7.64765E-06,0.980759258,TRUE,Alice,2017-03-10 00:02:40,2017-03-10 10:44:17,2017-03-10 11:07:39
b609128,grumpy,hydromorphone,0.006843265,3.33236E-05,0.985263616,TRUE,Alice,2017-03-10 00:02:40,2017-03-10 10:44:17,2017-03-10 11:07:39
b609128,grumpy,oxymorphone,0.006760859,-2.41066E-05,0.996018474,TRUE,Alice,2017-03-10 00:02:40,2017-03-10 10:44:17,2017-03-10 11:07:39
b609128,grumpy,codeine,0.007510102,-1.63774E-06,0.990514334,TRUE,Alice,2017-03-10 00:02:40,2017-03-10 10:44:17,2017-03-10 11:07:39
b609128,grumpy,hydrocodone,0.007030113,-4.10454E-05,0.989800392,TRUE,Alice,2017-03-10 00:02:40,2017-03-10 10:44:17,2017-03-10 11:07:39
b609128,grumpy,oxycodone,0.007465063,-6.75749E-06,0.992914755,TRUE,Alice,2017-03-10 00:02:40,2017-03-10 10:44:17,2017-03-10 11:07:39
b102810,sneezy,morphine,0.007032193,7.74869E-06,0.987102706,TRUE,Walter,2017-03-10 00:35:37,2017-03-10 13:36:37,2017-03-10 14:01:57
b102810,sneezy,hydromorphone,0.006476097,-5.02528E-05,0.988918846,TRUE,Walter,2017-03-10 00:35:37,2017-03-10 13:36:37,2017-03-10 14:01:57
b102810,sneezy,oxymorphone,0.006843704,1.9855E-05,0.980204392,TRUE,Walter,2017-03-10 00:35:37,2017-03-10 13:36:37,2017-03-10 14:01:57
b102810,sneezy,codeine,0.007233538,6.39212E-06,0.982756526,TRUE,Walter,2017-03-10 00:35:37,2017-03-10 13:36:37,2017-03-10 14:01:57
b102810,sneezy,hydrocodone,0.006170396,-5.05995E-05,0.981373232,TRUE,Walter,2017-03-10 00:35:37,2017-03-10 13:36:37,2017-03-10 14:01:57
b102810,sneezy,oxycodone,0.00666408,-4.43061E-05,0.989899036,TRUE,Walter,2017-03-10 00:35:37,2017-03-10 13:36:37,2017-03-10 14:01:57
b738756,happy,morphine,0.007322226,4.10889E-05,0.988055429,TRUE,Walter,2017-03-09 22:20:14,2017-03-10 09:13:30,2017-03-10 09:39:47
b738756,happy,hydromorphone,0.006571395,3.79201E-05,0.983922918,TRUE,Walter,2017-03-09 22:20:14,2017-03-10 09:13:30,2017-03-10 09:39:47
b738756,happy,oxymorphone,0.007431354,-4.58874E-05,0.994268964,TRUE,Walter,2017-03-09 22:20:14,2017-03-10 09:13:30,2017-03-10 09:39:47
b738756,happy,codeine,0.007142899,4.32094E-06,0.997286229,TRUE,Walter,2017-03-09 22:20:14,2017-03-10 09:13:30,2017-03-10 09:39:47
b738756,happy,hydrocodone,0.006735459,4.2195E-05,0.99089485,TRUE,Walter,2017-03-09 22:20:14,2017-03-10 09:13:30,2017-03-10 09:39:47
b738756,happy,oxycodone,0.00670643,-7.67805E-06,0.990102208,TRUE,Walter,2017-03-09 22:20:14,2017-03-10 09:13:30,2017-03-10 09:39:47
b231865,sleepy,morphine,0.008123196,6.50394E-05,0.989335118,TRUE,Brad,2017-03-09 20:03:47,2017-03-10 09:14:03,2017-03-10 09:54:29
b231865,sleepy,hydromorphone,0.006943708,-4.54466E-06,0.985729757,TRUE,Brad,2017-03-09 20:03:47,2017-03-10 09:14:03,2017-03-10 09:54:29
b231865,sleepy,oxymorphone,0.006730095,-4.72777E-05,0.990383897,TRUE,Brad,2017-03-09 20:03:47,2017-03-10 09:14:03,2017-03-10 09:54:29
b231865,sleepy,codeine,0.007196809,3.96578E-05,0.99478145,TRUE,Brad,2017-03-09 20:03:47,2017-03-10 09:14:03,2017-03-10 09:54:29
b231865,sleepy,hydrocodone,0.006885732,-3.71425E-05,0.983841774,TRUE,Brad,2017-03-09 20:03:47,2017-03-10 09:14:03,2017-03-10 09:54:29
b231865,sleepy,oxycodone,0.00717953,-1.1376E-05,0.984860259,TRUE,Brad,2017-03-09 20:03:47,2017-03-10 09:14:03,2017-03-10 09:54:29
